manager,manager_brand,market,unit_count,miles_from_city_center,number_stories,property_quality,building_age,total_pop,land_area,pop_density,unemployed_perc,hs_diploma_perc,bachelors_perc,masters_perc,star_rating,aided_recognition,unaided_recognition,rating,area_type_Rural,area_type_Suburban,area_type_Urban,style_Garden,style_Hi-Rise,style_Low-Rise,style_Mid-Rise,style_Townhome,building_class_A,building_class_B,building_class_C
Camden,1,"Atlanta, GA",366.0,0.3950747474344187,9.0,0.8420522728788444,4.0,3209.0,822057.0,0.0039036222549044,0.0,0.0324088501090682,0.2935493923340604,0.2240573387348083,5.0,0.3391557496360989,0.0509461426491994,4.2,0,0,0,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",476.0,5.323991672407237,3.0,0.6883410638960746,41.0,3620.0,3505639.0,0.0010326220127058,0.0038674033149171,0.0770718232044199,0.2820441988950276,0.1776243093922652,4.0,0.3260553129548763,0.0611353711790393,4.4,0,1,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",360.0,11.207574860323662,2.0,0.6877293467521668,30.0,2556.0,1712545.0,0.0014925155251394,0.0230829420970266,0.0575117370892018,0.2797339593114241,0.1251956181533646,4.0,0.3260553129548763,0.0611353711790393,4.6,0,1,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",510.0,8.994488628684016,3.0,0.7041275315814549,42.0,6109.0,5226062.0,0.0011689490097897,0.0275004092322802,0.1183499754460631,0.1574725814372237,0.0433786217056801,3.0,0.3260553129548763,0.0611353711790393,4.5,0,1,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",294.0,11.90240285088864,3.0,0.8154057863907934,38.0,5197.0,3609609.0,0.0014397681300107,0.0265537810275158,0.0531075620550317,0.2932461035212623,0.2183952280161631,4.0,0.3260553129548763,0.0611353711790393,4.2,0,1,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",304.0,6.626377471191949,3.0,0.7645183013833088,39.0,4002.0,1838548.0,0.0021767177141962,0.016991504247876,0.0819590204897551,0.1079460269865067,0.1076961519240379,4.0,0.3260553129548763,0.0611353711790393,4.5,0,1,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",216.0,1.1209263700054792,3.0,0.7615620489915061,36.0,3175.0,2085594.0,0.0015223480696626,0.0220472440944881,0.0066141732283464,0.3807874015748032,0.1461417322834645,4.0,0.3260553129548763,0.0611353711790393,4.1,0,0,1,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",406.0,16.546849350136664,3.0,0.7779743691260896,24.0,4035.0,3796909.0,0.0010627065331299,0.0448574969021065,0.1434944237918215,0.1048327137546468,0.0148698884758364,4.0,0.3260553129548763,0.0611353711790393,4.4,0,1,0,1,0,0,0,0,1,0,0
Cortland,1,"Atlanta, GA",323.0,8.833048105107576,3.0,0.7712325267722242,34.0,6109.0,5226062.0,0.0011689490097897,0.0275004092322802,0.1183499754460631,0.1574725814372237,0.0433786217056801,4.0,0.3260553129548763,0.0611353711790393,4.3,0,0,0,1,0,0,0,0,1,0,0
Cortland,1,"Atlanta, GA",664.0,7.085320698043827,2.0,0.7757284578116707,40.0,2447.0,1530619.0,0.0015986996110723,0.0143032284429914,0.0147118921127911,0.2946465059256232,0.1033919084593379,3.0,0.3260553129548763,0.0611353711790393,4.3,0,0,1,1,0,0,0,0,0,1,0
Cortland,0,"Atlanta, GA",194.0,1.6302825982460396,4.0,0.7361450227025639,30.0,4354.0,1887210.0,0.0023071094366816,0.005512172714745,0.0723472668810289,0.3137344970142398,0.1469912723932016,4.0,0.3260553129548763,0.0611353711790393,3.9,0,0,1,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",1738.0,7.287495790608451,3.0,0.7597403135895728,39.0,6982.0,2815966.0,0.002479433345431,0.0441134345459753,0.1032655399598968,0.2410484101976511,0.1044113434545975,4.0,0.3260553129548763,0.0611353711790393,4.5,0,0,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",484.0,7.084853112952207,2.0,0.6044067407393574,44.0,4999.0,1441816.0,0.0034671553096927,0.0154030806161232,0.132626525305061,0.2354470894178836,0.0574114822964592,3.0,0.3260553129548763,0.0611353711790393,3.6,0,1,0,1,0,0,0,0,0,1,0
Cortland,0,"Atlanta, GA",165.0,1.4178048314591676,3.0,0.7267151013443732,31.0,4354.0,1887210.0,0.0023071094366816,0.005512172714745,0.0723472668810289,0.3137344970142398,0.1469912723932016,3.0,0.3260553129548763,0.0611353711790393,4.0,0,0,0,1,0,0,0,0,0,1,0
