,market,rank,total_units,total_properties,lat,lon,submarket
114,"Bloomington, IN",1,1290.0,6,39.17,-86.49,Bloomington/Terre Haute
115,"Bloomington, IN",2,732.0,4,39.15,-86.57,Bloomington/Terre Haute
116,"Bloomington, IN",3,721.0,2,39.16,-86.59,Bloomington/Terre Haute
117,"Bloomsburg-Berwick, PA",1,232.0,1,41.02,-76.42,Columbia County
118,"Bloomsburg-Berwick, PA",2,118.0,2,41.0,-76.46,Columbia County
119,"Bloomsburg-Berwick, PA",3,96.0,1,41.02,-76.41,Columbia County
120,"Boise, ID",1,1500.0,1,43.63,-116.51,Nampa
121,"Boise, ID",2,1475.0,10,43.61,-116.2,Downtown Boise
122,"Boise, ID",3,1071.0,4,43.62,-116.21,Downtown Boise
123,"Boston, MA",1,4429.0,24,42.34,-71.1,Fenway
124,"Boston, MA",2,4047.0,18,42.35,-71.06,Chinatown
125,"Boston, MA",3,3601.0,27,42.34,-71.08,South End Boston
126,"Boulder, CO",1,1209.0,1,39.93,-105.14,Interlocken
127,"Boulder, CO",2,1150.0,7,40.02,-105.25,Transit Village
128,"Boulder, CO",3,930.0,2,40.15,-105.16,Longmont/Northwest Boulder County
129,"Bowling Green, KY",1,655.0,3,36.94,-86.43,Bowling Green Area
130,"Bowling Green, KY",2,590.0,1,36.97,-86.41,Bowling Green Area
131,"Bowling Green, KY",3,500.0,1,36.87,-86.53,Bowling Green Area
132,"Bremerton, WA",1,1063.0,5,47.67,-122.67,Outer Silverdale
133,"Bremerton, WA",2,570.0,1,47.67,-122.69,Outer Silverdale
134,"Bremerton, WA",3,530.0,4,47.52,-122.65,South Kitsap County
135,"Brownsville-Harlingen, TX",1,782.0,6,25.93,-97.48,Outlying Cameron County
136,"Brownsville-Harlingen, TX",2,586.0,4,25.94,-97.5,Outlying Cameron County
137,"Brownsville-Harlingen, TX",3,418.0,2,25.95,-97.48,Outlying Cameron County
138,"Brunswick, GA",1,436.0,4,31.21,-81.48,Brunswick/Kingsland
139,"Brunswick, GA",2,419.0,4,31.22,-81.48,Brunswick/Kingsland
140,"Brunswick, GA",3,393.0,3,31.21,-81.47,Brunswick/Kingsland
141,"Buffalo, NY",1,2004.0,8,42.88,-78.88,Downtown Buffalo
142,"Buffalo, NY",2,1382.0,10,42.9,-78.87,Bryant
143,"Buffalo, NY",3,1090.0,4,42.95,-78.83,Starin Central
144,"Burlington, NC",1,938.0,3,36.07,-79.28,Mebane
145,"Burlington, NC",2,854.0,4,36.06,-79.38,Mebane
146,"Burlington, NC",3,683.0,1,36.08,-79.31,Mebane
147,"Burlington, VT",1,525.0,4,44.48,-73.22,Downtown Burlington
148,"Burlington, VT",2,451.0,2,44.49,-73.11,Vermont North Area
149,"Burlington, VT",3,341.0,3,44.49,-73.18,Vermont North Area
150,"California-Lexington Park, MD",1,650.0,1,38.25,-76.45,St Mary's County
151,"California-Lexington Park, MD",2,365.0,1,38.3,-76.53,St Mary's County
152,"California-Lexington Park, MD",3,358.0,1,38.26,-76.47,St Mary's County
153,"Canton, OH",1,586.0,1,40.85,-81.45,Outer Canton
154,"Canton, OH",2,512.0,2,40.83,-81.43,Outer Canton
155,"Canton, OH",3,443.0,4,40.82,-81.37,Outer Canton
156,"Cape Girardeau, MO",1,342.0,1,37.3,-89.55,Missouri South Area
157,"Cape Girardeau, MO",2,176.0,2,37.34,-89.58,Missouri South Area
158,"Cape Girardeau, MO",3,138.0,2,37.3,-89.54,Missouri South Area
159,"Carbondale-Marion, IL",1,610.0,5,37.72,-89.22,Marion/I-64 & South
160,"Carbondale-Marion, IL",2,306.0,1,37.72,-89.2,Marion/I-64 & South
161,"Carbondale-Marion, IL",3,288.0,2,37.72,-89.21,Marion/I-64 & South
162,"Carson City, NV",1,658.0,6,39.19,-119.76,Carson City County
163,"Carson City, NV",2,542.0,4,39.19,-119.77,Carson City County
164,"Carson City, NV",3,396.0,2,39.17,-119.73,Carson City County
165,"Casper, WY",1,860.0,3,42.83,-106.29,I-25 Corridor/Casper
166,"Casper, WY",2,525.0,4,42.84,-106.28,I-25 Corridor/Casper
167,"Casper, WY",3,416.0,1,42.84,-106.25,I-25 Corridor/Casper
